condition,generated_file,clean_reference,pixel_agreement,prediction_iou,distribution_shift,robustness_drop
blur_high,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,0.89704375,0.5289852366000988,0.1035736111111111,0.4710147633999012
blur_high,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,0.8719236111111112,0.4670221974243023,0.12452500000000004,0.5329778025756977
blur_high,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,0.89583125,0.5759856497042544,0.06819166666666669,0.42401435029574563
blur_high,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,0.8662541666666667,0.5472473192241843,0.14183055555555557,0.45275268077581565
blur_high,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,0.8893979166666667,0.5458372442386069,0.14723749999999997,0.4541627557613931
blur_high,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,0.9122180555555556,0.5350534260162767,0.09530416666666668,0.4649465739837233
blur_high,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,0.8893625,0.5904332031775683,0.1128875,0.4095667968224317
blur_high,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,0.8880152777777778,0.5386346658780697,0.12158611111111114,0.46136533412193026
blur_high,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,0.9098284722222222,0.50025765968506,0.08393472222222224,0.49974234031494
blur_high,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,0.8963256944444444,0.560129253366264,0.10781527777777779,0.43987074663373604
blur_high,0011_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404.jpg,0.8856027777777777,0.561411240915004,0.10898333333333332,0.43858875908499595
blur_high,0012_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404.jpg,0.8884,0.5156547090493352,0.11177361111111112,0.4843452909506648
blur_high,0013_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,0.8759027777777778,0.5312519363359421,0.08636805555555546,0.46874806366405786
blur_high,0014_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404.jpg,0.8875854166666667,0.5714035210283532,0.13210138888888887,0.42859647897164677
blur_high,0015_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404.jpg,0.90879375,0.6688995569428126,0.10183472222222219,0.33110044305718744
blur_high,0016_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404.jpg,0.8610951388888889,0.5683135977895011,0.1480819444444444,0.4316864022104989
blur_high,0017_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404.jpg,0.8460034722222223,0.5221005628791817,0.1923138888888889,0.4778994371208183
blur_high,0018_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404.jpg,0.8788,0.6895623564418238,0.16369166666666668,0.31043764355817616
blur_high,0019_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404.jpg,0.8870111111111111,0.5186774643023482,0.14477777777777776,0.4813225356976518
blur_high,0020_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404.jpg,0.9134298611111111,0.5673153319224007,0.07829861111111108,0.4326846680775993
blur_high,0021_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404.jpg,0.91814375,0.5647507363720894,0.0919402777777778,0.4352492636279106
blur_high,0022_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404.jpg,0.8630875,0.5349463384377965,0.14778611111111117,0.4650536615622035
blur_high,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,0.8910506944444444,0.5191141813216269,0.11527638888888889,0.4808858186783731
brightness_high,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,0.9202895833333333,0.5143344945415425,0.06281666666666666,0.48566550545845755
brightness_high,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,0.9059340277777778,0.4878567887683397,0.10089444444444441,0.5121432112316603
brightness_high,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,0.9007340277777778,0.5610947099674479,0.11154444444444452,0.4389052900325521
brightness_high,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,0.9210631944444444,0.6398801231137065,0.07067777777777776,0.36011987688629354
brightness_high,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,0.9236527777777778,0.5801897025329001,0.07646805555555558,0.41981029746709986
brightness_high,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,0.9332263888888889,0.5656370684682565,0.06889583333333339,0.43436293153174355
brightness_high,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,0.9015736111111111,0.6389558491662467,0.10310694444444445,0.3610441508337533
brightness_high,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,0.8941201388888889,0.5268702308487018,0.12226666666666669,0.47312976915129823
brightness_high,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,0.8772743055555555,0.4836896603234347,0.16205972222222229,0.5163103396765654
brightness_high,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,0.8910847222222222,0.510332092765383,0.12285555555555557,0.48966790723461695
brightness_high,0011_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404.jpg,0.9068513888888889,0.6428567926021471,0.09708888888888882,0.3571432073978529
brightness_high,0012_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404.jpg,0.8806361111111111,0.44445821974830546,0.1486722222222223,0.5555417802516945
brightness_high,0013_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,0.8785770833333333,0.518398282936235,0.1407625,0.481601717063765
brightness_high,0014_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404.jpg,0.8673493055555556,0.5486561923396627,0.17272500000000002,0.4513438076603373
