condition,pixel_agreement,prediction_iou,distribution_shift,robustness_drop
blur_high,0.8878742149758455,0.5531733647414304,0.1187006038647343,0.4468266352585696
brightness_high,0.8994746980676329,0.5565856801069751,0.11166153381642513,0.44341431989302493
occlusion_medium,0.6560977958937199,0.33459744357263077,0.4930860507246377,0.6654025564273692
