condition,generated_file,clean_reference,clean_object_count,generated_object_count,clean_avg_confidence,generated_avg_confidence,detection_drop,confidence_drop
blur_high,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,10,7,0.5836753845214844,0.5396413803100586,3,0.04403400421142578
brightness_high,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,11,7,0.5741950273513794,0.6552591919898987,4,-0.08106416463851929
brightness_high,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,11,9,0.5495448708534241,0.5640513300895691,2,-0.01450645923614502
brightness_high,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,9,8,0.6105371117591858,0.6307494640350342,1,-0.02021235227584839
brightness_high,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,12,9,0.6087847352027893,0.529509961605072,3,0.07927477359771729
brightness_high,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,14,11,0.5498559474945068,0.5238168835639954,3,0.026039063930511475
brightness_high,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,12,9,0.6437248587608337,0.6201388835906982,3,0.023585975170135498
brightness_high,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,13,7,0.602387011051178,0.696047842502594,6,-0.09366083145141602
brightness_high,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,13,9,0.6595361232757568,0.5598950386047363,4,0.09964108467102051
brightness_high,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,15,8,0.5986255407333374,0.7109645009040833,7,-0.11233896017074585
brightness_high,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,15,10,0.6063945293426514,0.6971495151519775,5,-0.09075498580932617
brightness_high,0011_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404.jpg,17,13,0.6112326979637146,0.5976558327674866,4,0.013576865196228027
brightness_high,0012_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404.jpg,13,8,0.6490727066993713,0.745313823223114,5,-0.09624111652374268
brightness_high,0013_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,16,8,0.5840363502502441,0.6964350938796997,8,-0.11239874362945557
brightness_high,0014_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404.jpg,15,10,0.5758964419364929,0.652462899684906,5,-0.07656645774841309
brightness_high,0015_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404.jpg,14,9,0.6444343328475952,0.6604005694389343,5,-0.01596623659133911
brightness_high,0016_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404.jpg,12,8,0.6420502066612244,0.6923836469650269,4,-0.05033344030380249
brightness_high,0017_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404.jpg,13,7,0.6044508218765259,0.7112862467765808,6,-0.10683542490005493
brightness_high,0018_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404.jpg,11,7,0.6208441853523254,0.6916845440864563,4,-0.07084035873413086
brightness_high,0019_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404.jpg,12,7,0.5851945281028748,0.680289626121521,5,-0.09509509801864624
brightness_high,0020_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404.jpg,12,8,0.6361660361289978,0.628748893737793,4,0.007417142391204834
brightness_high,0021_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404.jpg,11,8,0.6477426886558533,0.5960745215415955,3,0.05166816711425781
brightness_high,0022_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404.jpg,10,6,0.6046774387359619,0.6716586947441101,4,-0.0669812560081482
brightness_high,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_brightness_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,10,4,0.5836753845214844,0.6461693644523621,6,-0.062493979930877686
occlusion_medium,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,11,7,0.5741950273513794,0.5856043100357056,4,-0.011409282684326172
occlusion_medium,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,11,8,0.5495448708534241,0.5520749092102051,3,-0.002530038356781006
occlusion_medium,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,9,7,0.6105371117591858,0.5743451714515686,2,0.03619194030761719
occlusion_medium,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,12,10,0.6087847352027893,0.6066541075706482,2,0.0021306276321411133
occlusion_medium,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,14,11,0.5498559474945068,0.5459365248680115,3,0.003919422626495361
occlusion_medium,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,12,12,0.6437248587608337,0.5369353890419006,0,0.1067894697189331
occlusion_medium,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,13,8,0.602387011051178,0.5540713667869568,5,0.04831564426422119
occlusion_medium,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,13,9,0.6595361232757568,0.5889697670936584,4,0.07056635618209839
occlusion_medium,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,15,11,0.5986255407333374,0.5841792821884155,4,0.014446258544921875
occlusion_medium,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,15,13,0.6063945293426514,0.5236800909042358,2,0.08271443843841553
occlusion_medium,0011_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404.jpg,17,13,0.6112326979637146,0.5840297937393188,4,0.027202904224395752
occlusion_medium,0012_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404.jpg,13,9,0.6490727066993713,0.5545125007629395,4,0.09456020593643188
